1,a1,1000,Opening Transaction
2,a2,1000,Opening Transaction
3,a3,1000,Opening Transaction
4,a4,1000,Opening Transaction
5,a5,1000,Opening Transaction
6,a6,1000,Opening Transaction
7,a7,1000,Opening Transaction
8,a8,1000,Opening Transaction
9,a9,1000,Opening Transaction
10,a10,1000,Opening Transaction
11,a11,1000,Opening Transaction
12,a12,1000,Opening Transaction
13,a13,1000,Opening Transaction
14,a14,1000,Opening Transaction
15,a15,1000,Opening Transaction
16,a16,1000,Opening Transaction
17,a17,1000,Opening Transaction
18,a18,1000,Opening Transaction
19,a19,1000,Opening Transaction
20,a20,1000,Opening Transaction
101,a6,493.5,Depositing Money
102,a17,329,Depositing Money
103,a19,212,Depositing Money
104,a4,-400.5,Buying Food at Japan's Kitchen at  34 Ballarat St at  Yarraville VIC 3013
105,a15,-142,Getting Drinks at Cafe Fiore and Gelateria at  86 Hampshire Rd at  Sunshine VIC 3020
106,a2,-409,Getting coffee at Nick & Nora's Parramatta at  Level 26/45 Macquarie St at  Parramatta NSW 2150
107,a11,102.5,Depositing Money
108,a2,-91,Getting Drinks at Australian Museum at  1 William St at  Darlinghurst NSW 2010
109,a18,-141,Getting coffee at The Chamber Room Espresso & Brew Bar at  20 Lake St at  Cairns City QLD 4870
110,a18,-276,Buying Food at Yuzu Sushi at  Shop c7/3 Ave of Europe at  Newington NSW 2127
111,a11,209.5,Depositing Money
112,a20,-248.5,Getting coffee at Bare Witness at  30A Shoreline Dr at  Rhodes NSW 2138
113,a11,-477,Withdrawing money at BL Burgers at  3/188 Church St at  Parramatta NSW 2150
114,a14,-479.5,Getting Drinks at Oakridge Wines at  864 Maroondah Hwy at  Coldstream VIC 3770
115,a18,382,Depositing Money
116,a16,31.5,Depositing Money
117,a11,84,Depositing Money
118,a8,-202,Withdrawing money at Beatbox Kitchen at  12 Edward St at  Brunswick VIC 3056
119,a19,285,Depositing Money
120,a14,-353,Buying Food at 1 Naomi Court- Bayswater
121,a16,135.5,Depositing Money
122,a3,-229.5,Getting coffee at Mac Street Coffee at  29 Macquarie St at  Parramatta NSW 2150
123,a3,-357,Getting Drinks at 3/16 Gresford Road- Wantirna
124,a5,278.5,Depositing Money
125,a17,-264.5,Getting Drinks at Vasco at  421 Cleveland St at  Surry Hills NSW 2010
126,a20,110.5,Depositing Money
127,a12,-346,Getting Drinks at Three Blue Ducks at  Melbourne at  309 Melrose Dr at  Tullamarine VIC 3043
128,a20,64.5,Depositing Money
129,a3,454.5,Depositing Money
130,a20,404,Depositing Money
131,a13,-71.5,Getting Drinks at RaRa at  66b Regent St at  Redfern NSW 2016
132,a5,55,Depositing Money
133,a6,391,Depositing Money
134,a11,75.5,Depositing Money
135,a2,-59.5,Withdrawing money at Sekai Japanese Ramen Cuisine at  194/81 Hopkins St at  Footscray VIC 3011
136,a3,236.5,Depositing Money
137,a17,497,Depositing Money
138,a5,-168,Getting Drinks at 41 Grayson Drive- Scoresby
139,a6,-243.5,Buying Food at 54 David Street- Knoxfield
140,a1,-225,Buying Food at John Belvedere at  318 Church St at  Parramatta NSW 2150
141,a19,207.5,Depositing Money
142,a13,-57,Getting coffee at King Rooster at  58 Monash St at  Sunshine VIC 3020
143,a4,130.5,Depositing Money
144,a19,-230.5,Getting coffee at Proud Mary at  172 Oxford St at  Collingwood VIC 3066
145,a13,101,Depositing Money
146,a20,60.5,Depositing Money
147,a16,-402.5,Getting coffee at Circa Espresso at  21 Wentworth St at  Parramatta NSW 2150
148,a11,153,Depositing Money
149,a9,130.5,Depositing Money
150,a3,473.5,Depositing Money
151,a2,-443,Withdrawing money at 16 Jeanette Street- Bayswater
152,a3,16.5,Depositing Money
153,a10,-266.5,Withdrawing money at 2/297 Boronia road- Boronia
154,a11,-172,Withdrawing money at Mejico at  1 Pink Alley at  Melbourne VIC 3000
155,a8,263.5,Depositing Money
156,a19,495.5,Depositing Money
157,a7,-75.5,Getting Drinks at Japan's Kitchen at  34 Ballarat St at  Yarraville VIC 3013
158,a8,251,Depositing Money
159,a20,-210.5,Withdrawing money at 5/1 Tulip Cres- Boronia
160,a5,241.5,Depositing Money
161,a8,387,Depositing Money
162,a14,-155,Getting coffee at Japan's Kitchen at  34 Ballarat St at  Yarraville VIC 3013
163,a4,-295,Withdrawing money at 1/18 Cornhill Street- Ferntree Gully
164,a20,-476.5,Withdrawing money at 10 Botanic Place- Wantirna South
